FID,Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub Location,Spatial_Re,Facility Type,Agency,Latitude,Longitude,GlobalID,x,y
1,2,BARGONI HEALTH CENTRE,3606,COAST,LAMU,HINDI,HINDI MAGOGONI,BARGONI,DDP,3,MOH,-2.057423,40.795232,dfbcc6ed-7e0e-4247-831a-195c023f93a9,40.795232,-2.057423
2,3,FAZA HEALTH CENTRE,626,COAST,LAMU,FAZA,TCHUNDWA,TCHUNDWA,DDP,3,MOH,-2.071384,41.106066,46b9ba32-bdff-4e0c-a0c0-a549d2c65c81,41.106066,-2.071384
3,4,HINDI MAGOGONI DISP,0,COAST,LAMU,HINDI,HINDI MAGOGONI,HINDI MAGOGONI,DANIDA,4,MOH,-2.17357,40.810619,98dc5f1f-331c-4b1b-b978-cd619c44efaf,40.810619,-2.17357
4,5,HINDI PRISON DISP,615,COAST,LAMU,HINDI,HINDI MAGOGONI,HINDI MAGOGONI,ILRI VILLAGES,4,MOH,-2.18,40.82,407e09f7-9f8c-41b5-8d22-ff102245c38e,40.82,-2.18
5,6,HONGWE CATHOLIC HEALTH CENTRE,616,COAST,LAMU,MPEKETONI,HONGWE,HONGWE,SUBLOC CENTROID,3,MISS,-2.341627,40.657674,c9c4b62a-5feb-4606-ac9f-a9cf7081da78,40.657674,-2.341627
6,7,ICHUNDWA DISP,625,COAST,LAMU,KIZINGITINI,MBWAJUMWALI,MYABOGI,DDP,4,MOH,-2.080138,41.123971,729c4a36-3229-4164-aeeb-07aad2d4d7df,41.123971,-2.080138
7,8,KIUNGA HEALTH CENTRE,627,COAST,LAMU,KIUNGA,KIUNGA,RUBU/MWAMBORE,DDP,3,MOH,-1.741314,41.489472,455009db-c29f-4755-9662-235e49b4e289,41.489472,-1.741314
8,9,KIWAYU DISP,618,COAST,LAMU,KIZINGITINI,NDAU,KIWAYUU,DDP,4,MOH,-2.002129,41.276085,bdcfd88f-b82c-4098-9f2a-4e1ec4cc3118,41.276085,-2.002129
9,10,KIZINGITINI DISP,617,COAST,LAMU,KIZINGITINI,MBWAJUMWALI,MYABOGI,DANIDA,4,MOH,-2.07302,41.1464,7c5fef7e-63fd-456d-8fbe-c95858788a0f,41.1464,-2.07302
10,11,LAKE KENYATTA HEALTH CENTRE,2451,COAST,LAMU,MPEKETONI,MPEKETONI,KIONGWE,HD MAPS,3,MISS,-2.368667,40.716142,fc731b3f-5961-4657-a43d-264285278e5f,40.716142,-2.368667
11,12,LAMU DISTRICT HOSPITAL,631,COAST,LAMU,AMU,SHELLA MANDA,SHELLA(LAMU),DANIDA,1,MOH,-2.27857,40.906769,67269d20-efa6-47aa-8972-ef719311b809,40.906769,-2.27857
12,13,MANGAI DISP,2508,COAST,LAMU,KIUNGA,BASUBA,MANGAI,ILRI MKT CENTRES,4,MOH,-1.746,41.181,515d3645-4e46-40c9-8404-1844d94653b8,41.181,-1.746
13,14,MATONDONI DISP,619,COAST,LAMU,AMU,MATONDONI,KIPUNGANI,DISTRICT ESTIMATES,4,MOH,-2.29451,40.858402,8f1f8108-0ce9-4c6d-9a66-37a5703402c1,40.858402,-2.29451
